Op Cat - T1,Op Cat - T2,Op Cat - T3
Hardware Issues,Physical Damage,Corrosion damage
Hardware Issues,Physical Damage,Damaged casing/ports
Hardware Issues,Physical Damage,Environmental expoosure
Hardware Issues,Physical Damage,Liquid damage
Hardware Issues,Physical Damage,Mount/bracket issue
Hardware Issues,Physical Damage,Cable/port issue
Hardware Issues,Resource Limits,CPU throttling
Hardware Issues,Resource Limits,Cooling system failure
Hardware Issues,Resource Limits,Overheating
Hardware Issues,Resource Limits,Storage full
Hardware Issues,Resource Limits,Out of memory
Integration Issues,Custom Integration,Custom connector issues
Integration Issues,Custom Integration,Integration development requests
Integration Issues,Custom Integration,Integration testing support
Integration Issues,Third-Party Connections,API integration failure
Integration Issues,Third-Party Connections,Authentication to external systems
Integration Issues,Third-Party Connections,Data synchronization issues
Integration Issues,Workflow Integration,Automation failure
Integration Issues,Workflow Integration,Process flow errors
Integration Issues,Workflow Integration,Integration timeout issues
Other,Uncategorized Issue,Requires Classification
Performance Metrics,Analytics Issues,Analytics processing errors
Performance Metrics,Analytics Issues,Visualization failures
Performance Metrics,Analytics Issues,Data interpretation assistance
Performance Metrics,Dashboard Issues,Dashboard loading issues
Performance Metrics,Dashboard Issues,Widget failures
Performance Metrics,Dashboard Issues,Real-time data display issues
Performance Metrics,Reporting Issues,Report generation failure
Performance Metrics,Reporting Issues,Missing data in reports
Performance Metrics,Reporting Issues,Report scheduling issues
Security & Access,Authentication Failures,Login issues
Security & Access,Authentication Failures,Account lockouts
Security & Access,Authentication Failures,Multi-factor authentication
Security & Access,Compliance Requests,Request compliance report
Security & Access,Compliance Requests,Implement compliance controls
Security & Access,Compliance Requests,Update compliance documentation
Security & Access,Encryption Issues,Key management issues
Security & Access,Encryption Issues,Decryption errors
Security & Access,Encryption Issues,Secure communication issues
Security & Access,Permission Errors,Wrong access levels
Security & Access,Permission Errors,Role assignment issues
Security & Access,Permission Errors,User permissions
Security & Access,Permission Errors,Agency manager roles
Security & Access,Permission Errors,O/S permissions
Security & Access,Security Enhancements,Request security audit
Security & Access,Security Enhancements,Implement new security measures
Security & Access,Security Enhancements,Update security policies
Security & Access,Vulnerability Management,Malware detection
Security & Access,Vulnerability Management,Unauthorized access detection
Security & Access,Vulnerability Management,Data breach incidents
System Performance,Degraded Performance,Slow response
System Performance,Degraded Performance,High delay
System Performance,Degraded Performance,Freezing/crashing
System Performance,Intermittent Issues,Random disconnections
System Performance,Intermittent Issues,Cyclical failures
System Performance,Intermittent Issues,Crashes when busy
System Performance,Preventative Maintenance,System health check
System Performance,Scheduled Maintenance,Planned system outage
System Performance,Scheduled Maintenance,Maintenance window activities
System Performance,Scheduled Maintenance,Service upgrade downtime
System Performance,Total Failure,Complete system outage
System Performance,Total Failure,Service stopped
System Performance,Total Failure,Process stopped
User Interface (UI),Accessibility Issues,Screen reader compatibility
User Interface (UI),Accessibility Issues,Contrast/visibility issues
User Interface (UI),Accessibility Issues,Input assistance features
User Interface (UI),Display/Input Issues,Misaligned elements
User Interface (UI),Display/Input Issues,Touch/keyboard not working
User Interface (UI),Display/Input Issues,Dashboard display issues
User Interface (UI),Media & Playback,Audio/Video issues
User Interface (UI),Media & Playback,Distortion
User Interface (UI),Media & Playback,Sync issues
User Interface (UI),Media & Playback,Playback errors
User Interface (UI),Media & Playback,Gallery issues
User Interface (UI),Media & Playback,Video tool issues
User Interface (UI),Navigation Issues,Broken links
User Interface (UI),Navigation Issues,Page transition errors
User Support,Account Management,Create new account
User Support,Account Management,Reset password
User Support,Account Management,Update user profile
User Support,Account Management,Disable account
User Support,Service Onboarding,Connectivity Addition
User Support,Service Onboarding,Connectivity Removal
User Support,Service Onboarding,Contract Assessment
User Support,Service Onboarding,Contract Enablement
User Support,Service Onboarding,Contract Maintenance
User Support,Service Onboarding,Contract Renewal
User Support,Service Onboarding,Contract Site Addition
User Support,Service Onboarding,Contract System Upgrade Agreement
User Support,Service Onboarding,Contract Termination
User Support,Service Onboarding,Equipment Management
User Support,Service Onboarding,Network Monitoring Data Management
User Support,Service Onboarding,Network Monitoring Enablement
User Support,Service Onboarding,Network Monitoring Notifications
User Support,Service Transition,Knowledge transfer
User Support,Service Transition,Operational readiness assessment
User Support,Service Transition,Service acceptance
User Support,Service Transition,Production validation
User Support,Service Transition,Early life support
User Support,Service Transition,Transition documentation
User Support,Training & Education,Request training session
User Support,Training & Education,Access training materials
User Support,Training & Education,Schedule refresher training
User Support,User Administration,New user creation
User Support,User Administration,Profile creation/modification
User Support,User Administration,User reactivation
User Support,User Administration,Self-registration
User Support,User Administration,Bulk user creation
Problem Management,Permanent Fix,Permanent Fix Development
Problem Management,Root Cause Analysis,Request Investigation
